GLOB SHIP ID,GZM SHIP IDS,BGB SHIPVOYAGES
1857,2290-2;2391-2,
1858,,12258
1859,794,
1860,329;406;525;848;900;1039;1129,10544;13998;14271;14435;14454;14619;14822;15976;15977;18637
1861,1828;1956;2025;2175;2313;2412,
1862,,2045
1863,1689;1797;1864;1966;2092;2171;2361,
1864,2299,
1865,3424;3588;3910;4014;4045;4166,
1866,,7681
1867,,8970
1868,2620;2669;2730;2957;3084;3131;3224,
1869,4495;4502;5293,
1870,,9477
1871,,6535;8429
1872,3342;3405;3460;3518;3575;3636;3684;3793,7933;8023;8744;11554;11638;19889;19913;19961
1873,,1382
1874,,20218
1875,,1240
1876,4180,7310;9830;10825
1877,662,
1878,,19598
1879,1695;2020;2305;2406,
1880,3574;3634;3685;3791,
1881,,1396
1882,,6230
1883,166;223;308;427;478;711;776;919;979;1118;1256;1398;1425,8753;9472;9785;11716;11983;14094;14103;14264;14397;14728;14782;14803;14947;15790;16097;16137;16157;16472;17277;17283;17715
1884,1388;1585;1777;1996;2103;2200;2288;2389;2486;2558;2613;2666;2790;2853;3021;3071,
1885,,12926
1886,,9352
1887,,2872
1888,,2245;2258
1889,2792;3400;3543;3591;3724;3752;3831,7847;7854;11381;11456;11667;11880;11894;12944;13498;13535
1890,3867;3912,
1891,,4356;5133;5135;5959;5961;6227;6229;6231;6456;6457;6459;6854;7273;7315;8266;8508;8515;8564;8596;8624;9798;9799;9836;9839;9929;9951;10396;10857;10861;11406;11414;11416
1892,,959;1116;1580
1893,,3998;8953
1894,,11750
1895,4117;4159;4241;4267;4323;4352;4403;4421;4450,
1896,,2046
1897,,15229
1898,,164;278;2388
1899,,10037;10050
1900,,13235;13632
1901,,8710
1902,4295,
1903,1307,
1904,346;416-2;503-2;577-2;705;825;914-1;1033;1147;1267;1444;1558;1653;1753;1849;1971;2069;2146,
1905,94,
1906,4251;4294,
1907,,552;20053
1908,1155,
1909,,2240
1910,1545;1697;1764;1854,
1911,78;170;248;307;512;541;638,
1912,,6551
1913,,1164
1914,,1162;1167
1915,,1159
1916,,1166
1917,5222,
1918,,19308
1919,,7899
1920,,1280
1921,337;410,13804
1922,,16178;16675
1923,1107,
1924,373,
1925,37;72;153;184;279;585;804;864;1054;1091;1217;1329;1399;1506;1739;1837;2010;2040;2133;2221;2324,
1926,3383,
1927,,9186;9581;9582
1928,305,
1929,,977
1930,,3382;3560
1931,,20148
1932,,20161
1933,1626,
1934,,7548;8800;10598;13771;15074;15162;15412;15585;15738;15757;15987;16209;16238;16397;16987;17187;17336;17466;17559;17672;18112
1935,2961;3001,15787;17853;19214;19709
1936,1374;1454;1563;1794;1861;1960;2091;2170;2355;2480;3284,
1937,,13444
1938,,8707;10997;11895;12405;12551;12906;13446;18449
1939,,7622;7624;7675;7676;7677;11366
1940,2207,
1941,5218,
1942,,8354
1943,,13639;13640;13644;15247;15250;15252;18539;19221;19358;19486;19491;19492;19493;19609;19930;19937;19938;19939;19952
1944,1988;2060;2156;2263,
1945,316;418;500;572;702;828;893;1037;1123,9819;12042;14251;14274;14895;15267
1946,831;912;1025;1142,
1947,408,
1948,,1136
1949,2587,
1950,,14983;15049;15549;15566;15989;15999;16168;16310;16334;16547;16577;16672;16919;17092;17169;17300;17307;17309;17526;17735;17738;17739;17741;17743;17774;17779
1951,1106;1264;1341;1639;1829;1938;2307;2407,
1952,133;226;285;430,
